activation_param,optimizer_param,loss_param,batch_size_param,epochs_param,save_path_info
softplus,adagrad,categorical_hinge,3000,20,softplus_adagrad_categorical_hinge_3000_20
selu,adam,mean_squared_logarithmic_error,60000,10,selu_adam_mean_squared_logarithmic_error_60000_10
selu,sgd,mean_squared_logarithmic_error,500,20,selu_sgd_mean_squared_logarithmic_error_500_20
softplus,sgd,mean_absolute_percentage_error,500,30,softplus_sgd_mean_absolute_percentage_error_500_30
relu,adam,mean_squared_error,3000,30,relu_adam_mean_squared_error_3000_30
softmax,adamax,mean_squared_logarithmic_error,10000,20,softmax_adamax_mean_squared_logarithmic_error_10000_20
softsign,adam,mean_absolute_error,10000,20,softsign_adam_mean_absolute_error_10000_20
selu,adam,categorical_hinge,5000,20,selu_adam_categorical_hinge_5000_20
softsign,adamax,binary_crossentropy,10000,30,softsign_adamax_binary_crossentropy_10000_30
softmax,adagrad,mean_squared_error,500,10,softmax_adagrad_mean_squared_error_500_10
relu,adadelta,binary_crossentropy,500,30,relu_adadelta_binary_crossentropy_500_30
relu,ftrl,mean_absolute_percentage_error,500,30,relu_ftrl_mean_absolute_percentage_error_500_30
linear,rmsprop,categorical_hinge,500,20,linear_rmsprop_categorical_hinge_500_20
relu,adadelta,hinge,60000,30,relu_adadelta_hinge_60000_30
softsign,adamax,binary_crossentropy,10000,10,softsign_adamax_binary_crossentropy_10000_10
selu,sgd,binary_crossentropy,3000,30,selu_sgd_binary_crossentropy_3000_30
softmax,nadam,logcosh,10000,20,softmax_nadam_logcosh_10000_20
softmax,adamax,categorical_hinge,10000,10,softmax_adamax_categorical_hinge_10000_10
relu,ftrl,mean_squared_logarithmic_error,10000,30,relu_ftrl_mean_squared_logarithmic_error_10000_30
softsign,rmsprop,mean_absolute_error,10000,20,softsign_rmsprop_mean_absolute_error_10000_20
elu,adagrad,binary_crossentropy,3000,20,elu_adagrad_binary_crossentropy_3000_20
hard_sigmoid,adagrad,mean_squared_error,1000,30,hard_sigmoid_adagrad_mean_squared_error_1000_30
tanh,adam,categorical_hinge,3000,10,tanh_adam_categorical_hinge_3000_10
softplus,rmsprop,mean_squared_error,500,10,softplus_rmsprop_mean_squared_error_500_10
selu,nadam,mean_absolute_error,1000,10,selu_nadam_mean_absolute_error_1000_10
selu,rmsprop,mean_squared_error,60000,30,selu_rmsprop_mean_squared_error_60000_30
hard_sigmoid,rmsprop,mean_absolute_percentage_error,60000,10,hard_sigmoid_rmsprop_mean_absolute_percentage_error_60000_10
softsign,adam,squared_hinge,5000,30,softsign_adam_squared_hinge_5000_30
softsign,sgd,squared_hinge,5000,10,softsign_sgd_squared_hinge_5000_10
linear,adam,mean_absolute_error,500,20,linear_adam_mean_absolute_error_500_20
selu,nadam,mean_absolute_error,500,20,selu_nadam_mean_absolute_error_500_20
softmax,rmsprop,mean_absolute_percentage_error,10000,30,softmax_rmsprop_mean_absolute_percentage_error_10000_30
elu,adamax,squared_hinge,5000,30,elu_adamax_squared_hinge_5000_30
linear,ftrl,mean_absolute_error,1000,10,linear_ftrl_mean_absolute_error_1000_10
elu,adamax,binary_crossentropy,3000,30,elu_adamax_binary_crossentropy_3000_30
tanh,ftrl,categorical_hinge,1000,10,tanh_ftrl_categorical_hinge_1000_10
relu,adamax,squared_hinge,500,10,relu_adamax_squared_hinge_500_10
hard_sigmoid,sgd,mean_absolute_percentage_error,60000,20,hard_sigmoid_sgd_mean_absolute_percentage_error_60000_20
softmax,adadelta,squared_hinge,60000,10,softmax_adadelta_squared_hinge_60000_10
elu,adamax,categorical_hinge,10000,30,elu_adamax_categorical_hinge_10000_30
softsign,adagrad,squared_hinge,60000,30,softsign_adagrad_squared_hinge_60000_30
softmax,ftrl,mean_squared_logarithmic_error,60000,20,softmax_ftrl_mean_squared_logarithmic_error_60000_20
sigmoid,sgd,mean_absolute_error,10000,10,sigmoid_sgd_mean_absolute_error_10000_10
sigmoid,rmsprop,mean_squared_logarithmic_error,500,20,sigmoid_rmsprop_mean_squared_logarithmic_error_500_20
selu,nadam,mean_squared_logarithmic_error,60000,30,selu_nadam_mean_squared_logarithmic_error_60000_30
sigmoid,sgd,logcosh,60000,20,sigmoid_sgd_logcosh_60000_20
softsign,rmsprop,mean_absolute_error,1000,10,softsign_rmsprop_mean_absolute_error_1000_10
tanh,ftrl,squared_hinge,3000,10,tanh_ftrl_squared_hinge_3000_10
softmax,adam,mean_absolute_error,5000,20,softmax_adam_mean_absolute_error_5000_20
sigmoid,adamax,mean_absolute_error,1000,30,sigmoid_adamax_mean_absolute_error_1000_30
