activation,optimizer,loss,epochs,batch-size,learning-rate,layers,kernel-shape,pooling,isGray,isNorm,Dropout,L1,L2,last_loss, last_val_loss, last_accuracy, last_val_accuracy
selu,adam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,avg_pool,False,False,0,0,0,0.77613,0.89213,0.73118,0.6912
tanh,adam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,max_pool,False,False,0,0,0,0.44261,0.79641,0.86588,0.7249
relu,adam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,avg_pool,False,False,0,0,0,0.83121,0.9465,0.71213,0.6686
elu,adam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,avg_pool,False,False,0,0,0,0.79521,0.90683,0.72275,0.6815
selu,nadam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,max_pool,False,True,0,0,0,0.82073,0.95865,0.7235,0.6697
softplus,adam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,avg_pool,False,False,0,0,0,0.87699,0.98655,0.6973,0.6576
softsign,nadam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,max_pool,False,False,0,0,0,0.60491,0.78591,0.8015,0.7285
selu,rmsprop,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,max_pool,False,True,0,0,0,0.91546,1.01842,0.6857,0.6511
softsign,adam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,max_pool,False,False,0,0,0,0.55998,0.77076,0.81912,0.7298
tanh,nadam,categorical_crossentropy,100,1000,0.0001,128-128-128-128,2,max_pool,False,False,0,0,0,0.45904,0.79058,0.86115,0.7244
selu,adam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,avg_pool,False,False,0,0,0,0.9113,0.97757,0.68077,0.6548
tanh,adam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,max_pool,False,False,0,0,0,0.81656,0.97039,0.72142,0.6506
relu,adam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,avg_pool,False,False,0,0,0,0.98454,1.04842,0.65952,0.6389
elu,adam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,avg_pool,False,False,0,0,0,1.01883,1.09617,0.64393,0.6112
selu,nadam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,max_pool,False,True,0,0,0,1.04251,1.11182,0.63708,0.6174
softplus,adam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,avg_pool,False,False,0,0,0,1.01237,1.09345,0.64692,0.6209
softsign,nadam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,max_pool,False,False,0,0,0,0.87,0.95774,0.6991,0.6632
selu,rmsprop,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,max_pool,False,True,0,0,0,1.11284,1.16085,0.60812,0.5948
softsign,adam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,max_pool,False,False,0,0,0,0.87128,0.95923,0.7001,0.6584
tanh,nadam,categorical_crossentropy,100,1000,0.0001,64-64-64-64,2,max_pool,False,False,0,0,0,0.84055,0.97677,0.71108,0.6554
selu,adam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0,0,0,0.57774,0.80257,0.8037,0.7249
tanh,adam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,max_pool,False,False,0,0,0,0.09287,0.74141,0.9945,0.7613
relu,adam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0,0,0,0.6194,0.82717,0.78833,0.7223
elu,adam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0,0,0,0.5837,0.796,0.8008,0.7288
selu,nadam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,max_pool,False,True,0,0,0,0.52422,0.86987,0.83005,0.7108
softplus,adam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0,0,0,0.70282,0.86001,0.7591,0.7121
softsign,nadam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,max_pool,False,False,0,0,0,0.24754,0.68603,0.94407,0.7682
selu,rmsprop,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,max_pool,False,True,0,0,0,0.58228,0.90077,0.80663,0.6961
softsign,adam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,max_pool,False,False,0,0,0,0.22349,0.66631,0.95253,0.7738
tanh,nadam,categorical_crossentropy,100,1000,0.0001,256-256-256-256,2,max_pool,False,False,0,0,0,0.12882,0.76197,0.9887,0.7433
softplus,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,avg_pool,False,False,0,0,0,0.41989,0.90143,0.85808,0.7153
elu,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,avg_pool,False,False,0,0,0,0.17191,0.88388,0.9524,0.7489
relu,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,avg_pool,False,False,0,0,0,0.3074,0.82664,0.90235,0.7427
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0,0,0,0.01662,0.70971,1.0,0.7902
