activation,optimizer,loss,epochs,batch-size,learning-rate,layers,kernel-shape,pooling,isGray,isNorm,Dropout,L1,L2,last_loss, last_val_loss, last_accuracy, last_val_accuracy
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.1,0.001,0.001,2.21201,2.11639,0.4627,0.4742
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.3,0.001,0.001,1.50771,1.4621,0.5502,0.5667
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.001,0.001,1.43431,1.47203,0.5689,0.5572
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.001,0.001,1.56466,1.55899,0.50302,0.5101
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.001,0.001,1.47026,1.47568,0.54175,0.5417
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.3,0.001,0.001,2.04931,1.99285,0.43503,0.4516
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.3,0.001,0.0,1.60552,1.58649,0.52078,0.528
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.001,0.0,2.36626,2.32379,0.4565,0.4509
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.001,0.0,1.54023,1.53223,0.51758,0.5218
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.001,0.0,1.52692,1.55451,0.517,0.5117
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.3,0.001,0.0,2.06929,2.01355,0.43115,0.446
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.0,0.0,0.59078,0.93985,0.79495,0.6878
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.0,0.0,0.75494,1.01693,0.73925,0.6503
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.3,0.0,0.0,1.21788,1.73485,0.56555,0.4129
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.3,0.0,0.0,0.1164,0.7089,0.97177,0.7856
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.1,0.001,0.001,15.47739,15.1308,0.4467,0.4234
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.001,1.3559,1.34976,0.61537,0.6141
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.001,1.27833,1.27591,0.6253,0.6244
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.001,1.39823,1.3953,0.57495,0.5767
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.1,0.001,0.0,4.09621,4.05301,0.51977,0.5275
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.0,1.31737,1.33253,0.62502,0.6161
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.0,1.3181,1.313,0.60385,0.6079
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.001,0.0,1.37644,1.38558,0.5882,0.5797
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.1,0.001,0.0,2.23247,2.1518,0.4582,0.4674
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.0,0.0,0.23459,0.68128,0.93177,0.7794
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.0,0.0,0.50276,0.74096,0.83697,0.7456
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.0,0.0,0.23014,0.65185,0.93495,0.7825
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.1,0.0,0.0,0.04875,0.69427,0.99617,0.7928
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.2,0.01,0.01,9.98061,9.39216,0.29882,0.2993
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01,2.84569,2.48593,0.1012,0.0952
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01,2.51293,2.51259,0.10058,0.0977
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.01,2.38779,2.38789,0.1012,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.01,0.01,2.65144,2.65146,0.10058,0.0977
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.2,0.01,0.0,11.44499,10.6886,0.29807,0.3081
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0,2.40892,2.39238,0.1012,0.0952
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0,2.51702,2.51632,0.1012,0.0952
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.01,0.0,2.39501,2.39019,0.1012,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.01,0.0,2.65315,2.65309,0.1012,0.0952
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0,0.50855,0.84659,0.8285,0.7118
softsign,nadam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0,0.33166,0.64536,0.8926,0.7866
softsign,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.2,0.0,0.0,0.506,0.73495,0.83038,0.745
tanh,adam,categorical_crossentropy,500,1000,0.0001,512-512-512-512,2,max_pool,False,False,0.2,0.0,0.0,0.07226,0.66886,0.98707,0.7968
elu,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,avg_pool,False,False,0.3,0.001,0.001,1.41897,1.35609,0.59158,0.6204
tanh,adam,categorical_crossentropy,500,1000,0.0001,256-256-256-256,3,max_pool,False,False,0.3,0.001,0.001,2.16882,2.121,0.4799,0.4867
