activation,optimizer,loss,epochs,batch-size,learning-rate,isGray,isNorm,last_loss, last_val_loss, last_accuracy, last_val_accuracy
linear,adamax,categorical_crossentropy,500,5000,0.001,False,True,2.28205,2.28255,0.1128,0.1145
selu,adam,categorical_crossentropy,500,5000,0.001,False,True,2.15891,2.1626,0.17042,0.1738
linear,adam,categorical_crossentropy,500,5000,0.001,False,True,2.05202,2.06735,0.1851,0.1766
elu,rmsprop,categorical_crossentropy,500,5000,0.001,False,True,2.18739,2.19589,0.1644,0.1561
elu,adamax,categorical_crossentropy,500,5000,0.001,False,True,2.18876,2.18864,0.1582,0.1543
linear,sgd,categorical_crossentropy,500,5000,0.001,False,True,2.16486,2.16485,0.1732,0.1765
linear,nadam,categorical_crossentropy,500,5000,0.001,False,True,2.07415,2.08653,0.1716,0.1703
softplus,rmsprop,categorical_crossentropy,500,5000,0.001,False,True,2.30265,2.3028,0.10087,0.0946
linear,adamax,categorical_crossentropy,500,5000,0.0005,False,True,2.09041,2.09576,0.1891,0.1828
selu,adam,categorical_crossentropy,500,5000,0.0005,False,True,2.06036,2.06925,0.19103,0.1869
linear,adam,categorical_crossentropy,500,5000,0.0005,False,True,2.03808,2.053,0.19168,0.1879
elu,rmsprop,categorical_crossentropy,500,5000,0.0005,False,True,2.21895,2.23468,0.17537,0.1561
elu,adamax,categorical_crossentropy,500,5000,0.0005,False,True,2.10677,2.11317,0.1832,0.1841
linear,sgd,categorical_crossentropy,500,5000,0.0005,False,True,2.29088,2.29132,0.11375,0.1147
linear,nadam,categorical_crossentropy,500,5000,0.0005,False,True,2.1545,2.16839,0.17083,0.1621
softplus,rmsprop,categorical_crossentropy,500,5000,0.0005,False,True,2.26413,2.26003,0.15552,0.1469
