activation,optimizer,loss,epochs,batch-size,learning-rate,layers,kernel-shape,pooling,isGray,isNorm,Dropout,L1,L2,last_loss, last_val_loss, last_accuracy, last_val_accuracy
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,max_pool,False,False,0.1,0.0,0.0,0.22326,1.13453,0.96433,0.6412
softsign,adamax,categorical_crossentropy,1000,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.1,0.0,0.0,0.86014,1.33996,0.71543,0.538
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,avg_pool,False,False,0.1,0.0,0.0,0.33575,1.27588,0.92655,0.5954
softsign,adam,categorical_crossentropy,1000,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.1,0.0,0.0,0.39603,1.17489,0.8976,0.6127
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,2,max_pool,False,False,0.1,0.0,0.0,0.17238,1.32616,0.97682,0.612
softsign,adamax,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,avg_pool,False,False,0.01,0.0,0.0,0.36746,0.99082,0.91043,0.6623
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,max_pool,False,False,0.05,0.0,0.0,0.1378,1.08073,0.98645,0.665
softsign,adamax,categorical_crossentropy,1000,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.05,0.0,0.0,0.73487,1.18036,0.76075,0.5898
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,avg_pool,False,False,0.05,0.0,0.0,0.14924,1.12369,0.9838,0.6526
softsign,adam,categorical_crossentropy,1000,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.05,0.0,0.0,0.02119,1.37792,0.99995,0.6635
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,2,max_pool,False,False,0.05,0.0,0.0,0.69226,1.19559,0.77693,0.5918
softsign,adamax,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,avg_pool,False,False,0.05,0.0,0.0,0.61091,1.12396,0.80532,0.6154
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,max_pool,False,False,0.05,0.001,0.0,0.09276,1.13057,0.9949,0.665
softsign,adamax,categorical_crossentropy,1000,1000,0.0001,256-256-256-256,2,avg_pool,False,False,0.05,0.001,0.0,0.71595,1.18603,0.76745,0.5959
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,avg_pool,False,False,0.05,0.001,0.0,0.06981,1.22614,0.99822,0.6532
softsign,adam,categorical_crossentropy,1000,1000,0.0001,256-256-256-256,2,max_pool,False,False,0.05,0.001,0.0,0.08572,1.28011,0.9958,0.638
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,2,max_pool,False,False,0.05,0.001,0.0,0.19659,1.19042,0.96992,0.6334
softsign,adamax,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,avg_pool,False,False,0.05,0.001,0.0,0.69886,1.23628,0.7768,0.5728
softsign,adam,categorical_crossentropy,1000,1000,0.0001,128-128-128-128,3,max_pool,False,False,0.05,0.001,0.001,0.43849,1.45453,0.98228,0.6381
