Name,activation,optimizer,is_sparse,is_norm,is_gray,loss,accuracy,dropout,l1,l2,loss_validation,accuracy_validation
elu;elu;elu;elu_adadelta_0.001_categorical_crossentropy_5000_600_64;64;64;64,elu;elu;elu;elu,adadelta,False,False,False,2.251774311065674,0.1421249955892563,0.0,False,False,2.267873525619507,0.13600000739097595
elu;elu;elu;elu_adadelta_0.001_categorical_crossentropy_5000_600_64;64;64;64_gray,elu;elu;elu;elu,adadelta,False,False,True,2.525815963745117,0.16985000669956207,0.0,False,False,2.5618057250976562,0.1687999963760376
elu;elu;elu;elu_adadelta_0.001_categorical_crossentropy_5000_600_64;64;64;64_gray_norm,elu;elu;elu;elu,adadelta,False,True,True,2.107952117919922,0.24437500536441803,0.0,False,False,2.1101267337799072,0.24560000002384186
elu;elu;elu;elu_adadelta_0.001_categorical_crossentropy_5000_600_64;64;64;64_norm,elu;elu;elu;elu,adadelta,False,True,False,1.8735734224319458,0.337675005197525,0.0,False,False,1.8903878927230835,0.33239999413490295
elu;elu;elu;elu_adagrad_0.001_categorical_crossentropy_5000_600_64;64;64;64,elu;elu;elu;elu,adagrad,False,False,False,1.8809059858322144,0.3262749910354614,0.0,False,False,1.9287617206573486,0.31610000133514404
elu;elu;elu;elu_adagrad_0.001_categorical_crossentropy_5000_600_64;64;64;64_gray,elu;elu;elu;elu,adagrad,False,False,True,2.025930881500244,0.27515000104904175,0.0,False,False,2.065124034881592,0.26930001378059387
elu;elu;elu;elu_adagrad_0.001_categorical_crossentropy_5000_600_64;64;64;64_gray_norm,elu;elu;elu;elu,adagrad,False,True,True,1.980963945388794,0.30707499384880066,0.0,False,False,1.9929070472717285,0.3025999963283539
elu;elu;elu;elu_adagrad_0.001_categorical_crossentropy_5000_600_64;64;64;64_norm,elu;elu;elu;elu,adagrad,False,True,False,1.6595091819763184,0.4166249930858612,0.0,False,False,1.7016093730926514,0.4032000005245209
elu;elu;elu;elu_adamax_0.001_categorical_crossentropy_5000_600_64;64;64;64,elu;elu;elu;elu,adamax,False,False,False,1.6930735111236572,0.39045000076293945,0.0,False,False,1.767561674118042,0.3677999973297119
elu;elu;elu;elu_adamax_0.001_categorical_crossentropy_5000_600_64;64;64;64_gray,elu;elu;elu;elu,adamax,False,False,True,1.614976406097412,0.42945000529289246,0.0,False,False,1.8597724437713623,0.36880001425743103
elu;elu;elu;elu_adamax_0.001_categorical_crossentropy_5000_600_64;64;64;64_gray_norm,elu;elu;elu;elu,adamax,False,True,True,1.3448001146316528,0.5268499851226807,0.0,False,False,1.6490569114685059,0.4253999888896942
elu;elu;elu;elu_adamax_0.001_categorical_crossentropy_5000_600_64;64;64;64_norm,elu;elu;elu;elu,adamax,False,True,False,1.0122082233428955,0.6433249711990356,0.0,False,False,1.4920538663864136,0.503000020980835
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64,elu;elu;elu;elu,adam,False,False,False,1.8784046173095703,0.3021000027656555,0.0,False,False,1.9232978820800781,0.289900004863739
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64_dropout01_gray,elu;elu;elu;elu,adam,False,False,True,1.982373595237732,0.26512500643730164,0.1,False,False,1.9844896793365479,0.2736999988555908
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64_dropout01_gray_l101,elu;elu;elu;elu,adam,False,False,True,2.285560369491577,0.16715000569820404,0.1,True,False,2.2690300941467285,0.17000000178813934
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64_dropout02_gray,elu;elu;elu;elu,adam,False,False,True,1.6544572114944458,0.4121749997138977,0.2,False,False,1.8618905544281006,0.3531999886035919
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64_dropout02_gray_l101,elu;elu;elu;elu,adam,False,False,True,2.2587218284606934,0.18240000307559967,0.2,True,False,2.23724627494812,0.18889999389648438
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64_dropout04_gray,elu;elu;elu;elu,adam,False,False,True,2.303798198699951,0.09809999912977219,0.4,False,False,2.3029403686523438,0.10159999877214432
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64_dropout04_gray_testL1,elu;elu;elu;elu,adam,False,False,True,1.785784125328064,0.40625,0.4,False,False,1.8368158340454102,0.3853999972343445
elu;elu;elu;elu_adam_0.001_categorical_crossentropy_5000_600_64;64;64;64_gray,elu;elu;elu;elu,adam,False,False,True,2.0630805492401123,0.22885000705718994,0.0,False,False,2.1482019424438477,0.21130000054836273
